Diametre	Height	Sex_true	PeristomeH
8.7	11.4	M	5.9
8.6	11.3	M	6.4
8.7	11.1	M	6
9.2	12.7	M	5.7
9.1	12.5	F	6.3
8.8	11.5	M	6
9.7	12.8	M	5.5
10	13.1	F	6.6
9.3	12.9	M	5.7
9.6	12.3	F	6.8
9	12.8	M	5.4
9.5	12.1	F	6.1
9.8	12.3	F	6.4
9.7	12.7	M	5.5
9.1	12.1	M	5.6
9.8	12.3	M	5.1
10.1	14.3	F	6.4
9.4	13.1	F	6.1
10.4	13.3	F	6.5
10.8	14.3	F	6.6
10.7	12.2	F	6.7
9.1	13.6	F	6.8
10.4	14	F	6.2
10.5	13.7	F	6.3
10.3	13.4	F	5.4
10.8	13.5	F	5.5
