ID	Date	Box_code	Density	Sex_true	Sex_predicted	Disp	Time_sec	Active	Height	Diametre	PeristomeH
B3_140_D3_R4	16/06/2017	16	3	F	F	yes	180	1	14.2	10.6	6.5
B3_141_D3_R4	16/06/2017	16	3	F	F	yes	455	1	14.1	10.6	6.3
B3_142_D3_R5	16/06/2017	15	3	M	M	no	7200	0	12.4	9.5	6.1
B3_143_D3_R5	16/06/2017	15	3	M	M	no	7200	0	11.7	9.4	5.7
B3_144_D3_R5	16/06/2017	15	3	F	F	no	193	1	12.6	9.5	6.1
B3_147_D3_R6	16/06/2017	14	3	F	F	no	292	1	14.3	11.1	6.6
B3_146_D3_R6	16/06/2017	14	3	M	M	no	209	1	12.4	9.4	5.7
B3_145_D3_R6	16/06/2017	14	3	F	F	yes	330	1	14.8	11.7	6.8
B5_236_D3_R7	22/06/2017	23	3	F	F	yes	560	1	13.5	10.2	6.2
B5_237_D3_R7	22/06/2017	23	3	M	M	no	455	1	13.1	9.8	5.9
B5_238_D3_R7	22/06/2017	23	3	M	M	no	460	1	12.3	9.6	5.8
B5_239_D3_R8	22/06/2017	22	3	F	F	no	320	1	13.7	10.3	6.4
B5_240_D3_R8	22/06/2017	22	3	M	M	no	7200	0	12.6	9.5	6.1
B5_241_D3_R8	22/06/2017	22	3	M	M	yes	700	1	12.7	9.4	6.1
B5_242_D3_R9	22/06/2017	21	3	F	F	no	7200	0	14.1	11.1	6.6
B5_243_D3_R9	22/06/2017	21	3	F	F	yes	7200	0	13.7	10.3	6.1
B5_2445_D3_R9	22/06/2017	21	3	F	M	yes	270	1	12.8	9.9	6.1
B5_245_D3_R10	22/06/2017	20	3	F	F	no	300	1	13.9	10.8	6.5
B5_246_D3_R10	22/06/2017	20	3	F	F	yes	415	1	14.4	11.1	6.7
B5_247_D3_R10	22/06/2017	20	3	M	M	yes	624	1	12.5	9.5	6.1
B2_66_D4_R1	12/06/2017	11	4	F	F	no	7200	0	13.6	10.4	6.1
