ID	Date	Box_code	Density	Sex_true	Sex_predicted	Disp	Time_sec	Active	Height	Diametre	PeristomeH
B5_214_D20_R3	16/06/2017	6	20	M	M	no	380	1	13.3	10.3	6.4
B5_215_D20_R3	16/06/2017	6	20	F	M	no	494	1	13.2	9.7	6.2
B5_216_D20_R3	16/06/2017	6	20	M	M	no	195	1	12.8	10.1	6.3
B5_217_D20_R3	16/06/2017	6	20	F	F	no	392	1	14.1	10.5	6.3
B5_218_D20_R3	16/06/2017	6	20	F	F	no	322	1	13.8	10.6	6.4
B5_219_D20_R3	16/06/2017	6	20	M	F	no	300	1	13.8	10.3	6.4
B5_220_D20_R3	16/06/2017	6	20	F	F	no	285	1	12.6	9.7	6.1
B5_221_D20_R3	16/06/2017	6	20	M	M	no	7200	0	13.2	10.2	5.9
B5_222_D20_R3	16/06/2017	6	20	F	F	no	7200	0	13.8	10.3	6.1
B5_223_D20_R3	16/06/2017	6	20	M	M	no	587	1	13.1	9.9	5.9
B5_224_D20_R3	16/06/2017	6	20	M	M	no	7200	0	12.1	9.2	5.8
B5_225_D20_R3	16/06/2017	6	20	F	F	no	7200	0	13.3	9.8	6.3
B6_343_D30_R1	26/06/2017	22	30	M	F	no	300	1	13.7	10.4	6.1
B6_344_D30_R1	26/06/2017	22	30	M	F	no	7200	0	13.3	10.2	6.5
B6_315_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.5	9.6	6.1
B6_316_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.1	9.1	5.9
B6_317_D30_R1	26/06/2017	22	30	M	F	no	7200	0	13.3	10.3	6.1
B6_318_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.5	9.4	5.7
B6_319_D30_R1	26/06/2017	22	30	F	M	no	282	1	12.9	10.1	6.2
B6_320_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.4	9.7	5.9
B6_321_D30_R1	26/06/2017	22	30	F	M	no	7200	0	13.1	9.8	6.1
B6_322_D30_R1	26/06/2017	22	30	F	F	no	7200	0	13.7	10.4	6.2
B6_323_D30_R1	26/06/2017	22	30	F	F	no	7200	0	13.6	10.2	6.3
B6_324_D30_R1	26/06/2017	22	30	F	M	no	7200	0	13.1	10.1	6.1
B6_325_D30_R1	26/06/2017	22	30	F	F	no	398	1	13.8	10.2	6.4
B6_326_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.7	10.1	5.9
B6_327_D30_R1	26/06/2017	22	30	M	F	no	7200	0	13.6	10.4	6.4
B6_328_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.1	8.8	5.9
B6_329_D30_R1	26/06/2017	22	30	M	F	no	7200	0	13.5	10.6	6.1
B6_330_D30_R1	26/06/2017	22	30	M	M	no	7200	0	12.9	10.1	6.1
B6_331_D30_R1	26/06/2017	22	30	M	M	yes	744	1	13.2	10.2	6.3
B6_332_D30_R1	26/06/2017	22	30	M	M	yes	7200	0	13.2	10.1	6.2
B6_333_D30_R1	26/06/2017	22	30	M	F	yes	875	1	13.7	10.3	6.1
B6_334_D30_R1	26/06/2017	22	30	F	M	yes	320	1	13.1	10.2	6.1
B6_335_D30_R1	26/06/2017	22	30	M	M	yes	920	1	13.1	9.9	6.1
B6_336_D30_R1	26/06/2017	22	30	F	F	yes	7200	0	13.9	10.9	6.6
B6_337_D30_R1	26/06/2017	22	30	F	F	yes	923	1	14.1	11.1	6.6
B6_338_D30_R1	26/06/2017	22	30	M	F	yes	7200	0	13.4	10.3	6.2
B6_339_D30_R1	26/06/2017	22	30	M	M	yes	492	1	13.2	10.1	6.2
B6_340_D30_R1	26/06/2017	22	30	F	F	yes	601	1	14.1	10.6	6.3
B6_341_D30_R1	26/06/2017	22	30	F	F	yes	7200	0	13.3	10.4	6.3
B6_342_D30_R1	26/06/2017	22	30	M	F	yes	7200	0	13.2	10.2	6.3
B6_345_D30_R2	26/06/2017	23	30	M	M	yes	7200	0	12.9	9.9	6.1
B6_346_D30_R2	26/06/2017	23	30	M	F	yes	450	1	13.9	10.5	6.3
B6_347_D30_R2	26/06/2017	23	30	M	M	yes	7200	0	12.6	9.6	5.9
B6_348_D30_R2	26/06/2017	23	30	M	F	yes	7200	0	13.3	10.1	6.1
B6_349_D30_R2	26/06/2017	23	30	F	F	yes	7200	0	13.2	10.3	6.2
B6_350_D30_R2	26/06/2017	23	30	M	M	yes	530	1	12.4	9.1	5.8
B7_351_D30_R2	26/06/2017	23	30	M	F	yes	560	1	13.4	10.2	6.1
B7_352_D30_R2	26/06/2017	23	30	M	M	yes	7200	0	13.1	10.3	6.3
B7_353_D30_R2	26/06/2017	23	30	F	F	no	707	1	13.5	10.3	6.1
B7_354_D30_R2	26/06/2017	23	30	M	M	no	7200	0	13.1	10.2	6.1
B7_355_D30_R2	26/06/2017	23	30	F	M	no	7200	0	13.1	10.1	6.3
B7_356_D30_R2	26/06/2017	23	30	M	M	no	7200	0	12.8	9.6	5.7
B7_357_D30_R2	26/06/2017	23	30	F	F	no	7200	0	14.1	11.1	6.5
B7_358_D30_R2	26/06/2017	23	30	F	F	no	7200	0	13.7	10.2	6.3
B7_359_D30_R2	26/06/2017	23	30	F	F	no	7200	0	14.1	11.1	6.6
B7_360_D30_R2	26/06/2017	23	30	M	M	no	7200	0	13.1	9.5	5.7
B7_361_D30_R2	26/06/2017	23	30	M	F	no	702	1	14.2	10.7	6.3
B7_362_D30_R2	26/06/2017	23	30	M	M	no	7200	0	12.5	9.7	6.1
B7_363_D30_R2	26/06/2017	23	30	M	M	no	480	1	13.2	10.2	6.1
B7_364_D30_R2	26/06/2017	23	30	M	M	no	7200	0	12.7	9.8	5.8
B7_365_D30_R2	26/06/2017	23	30	M	M	no	566	1	13.2	10.2	6.1
B7_366_D30_R2	26/06/2017	23	30	F	F	no	420	1	13.2	10.1	6.5
B7_367_D30_R2	26/06/2017	23	30	F	F	no	325	1	13.1	10.1	6.1
B7_368_D30_R2	26/06/2017	23	30	F	F	no	300	1	13.3	10.5	6.3
B7_369_D30_R2	26/06/2017	23	30	F	F	no	360	1	14.4	11.3	6.8
B7_370_D30_R2	26/06/2017	23	30	F	F	no	403	1	14.1	10.5	6.6
B7_371_D30_R2	26/06/2017	23	30	M	M	no	290	1	13.1	10.1	6.1
B7_372_D30_R2	26/06/2017	23	30	F	F	no	7200	0	13.9	10.7	6.7
B7_373_D30_R2	26/06/2017	23	30	M	M	no	7200	0	12.7	10.1	6.1
B7_374_D30_R2	26/06/2017	23	30	M	M	no	220	1	12.1	9.1	5.7
