uniqueID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	area	Shell_Mass
37	-2.958739e-02	4.219773e-03	-7.407106e-04	2.578418e-03	5.461607e-03	-2.537600e-03	3.398672e-03	-4.728163e-04	67.1798699208	139.3
38	3.649331e-02	2.383592e-02	-1.362983e-02	2.427139e-02	-5.592595e-03	4.605421e-03	-3.259702e-03	8.883039e-04	64.320618544	89.5
39	1.200310e-02	-1.809464e-03	-9.808554e-03	3.609805e-03	-2.092377e-03	-9.796012e-04	3.280344e-03	-1.740549e-03	66.7713194091	125.2
40	4.502874e-02	1.017755e-02	1.274241e-02	1.465617e-02	-4.619460e-03	-3.075544e-03	-2.638943e-03	3.906795e-03	64.4642383329	131.2
41	4.840413e-04	-4.646576e-03	-1.089350e-02	8.605888e-04	-8.910998e-03	-3.755752e-03	1.922613e-04	-3.075672e-03	80.6893116516	159.6
42	-3.250176e-03	-1.917558e-02	-9.880153e-03	-1.273966e-03	1.383642e-03	1.735685e-03	-1.061900e-02	-3.905494e-04	83.9443696686	204.1
43	1.689916e-02	-2.729632e-02	1.626430e-02	-1.688373e-02	-7.292668e-03	9.158306e-03	6.296324e-03	-2.932417e-03	73.2973313979	123.3
44	-2.407155e-02	3.517965e-03	1.436550e-04	1.522587e-03	-2.242320e-03	2.394134e-03	-6.494764e-03	1.171257e-03	76.0020194304	150.6
45	-5.183927e-02	-8.432740e-03	-3.202000e-02	7.360868e-03	-8.883050e-04	1.188328e-02	5.186347e-03	-5.949909e-03	83.972107072	127.8
46	-7.541839e-03	2.099992e-02	1.086904e-02	1.587368e-02	-5.404787e-03	-6.345152e-04	-5.224838e-03	-1.078646e-03	61.7092161056	107.7
47	4.603444e-03	-2.128390e-02	1.757359e-02	-1.108105e-02	-4.272816e-03	3.885229e-04	-8.481817e-05	-3.171183e-03	76.9713155456	135.7
48	2.791716e-02	-2.300820e-02	-2.721789e-03	-5.465694e-03	-8.784497e-03	3.425377e-03	2.953553e-03	-5.420662e-03	71.2723864944	140.0
49	1.744445e-02	-9.341828e-03	3.966895e-04	-1.336691e-03	-9.742744e-03	6.786110e-03	3.611323e-04	-1.445496e-03	93.1394930274	181.4
50	-2.029991e-02	5.742831e-03	6.946090e-03	1.798029e-03	-7.551755e-04	5.463504e-03	-1.237646e-02	-1.381313e-04	69.2056086815	125.9
51	1.259054e-02	3.248624e-03	2.046735e-02	7.021826e-03	-2.438624e-03	6.023520e-03	-4.232232e-03	3.878025e-03	68.6760054015	131.2
52	9.367613e-03	-1.837631e-02	3.243776e-02	-1.036426e-03	2.725361e-03	4.622234e-05	-3.263067e-03	2.827935e-03	66.854747132	103.8
53	4.934871e-03	-2.220932e-02	-3.553399e-03	4.265241e-04	-1.078106e-02	1.494453e-03	4.216689e-03	-4.165724e-03	76.9584026795	134.2
54	2.000655e-02	-1.079960e-02	1.745600e-03	-1.883476e-04	6.669574e-03	7.187642e-04	1.997509e-03	-2.863973e-03	65.663609316	140.2
55	-1.466376e-02	2.593393e-02	5.594879e-04	4.078442e-02	-1.194860e-03	-8.931121e-03	9.480289e-03	-1.121404e-02	58.697732782	139.0
56	1.390280e-03	-4.696456e-03	2.443701e-02	-5.421809e-03	-5.396181e-03	2.230148e-04	-4.185091e-03	6.419889e-04	86.480965376	175.5
57	-3.153806e-02	-5.836768e-03	4.882388e-03	-3.100110e-03	1.926400e-03	5.382853e-03	-4.149656e-03	1.018566e-03	80.9679458848	146.1
58	1.641140e-03	-1.685370e-02	-2.715534e-02	3.124635e-03	-8.802431e-03	9.960113e-03	-6.022627e-03	1.958730e-03	74.2638243984	116.6
59	1.391899e-02	3.399995e-03	-7.624642e-03	3.627234e-03	-3.894861e-03	3.195041e-03	2.583542e-03	-1.002837e-03	69.7458758048	192.0
60	-6.687451e-03	-4.178725e-03	5.031394e-03	-6.286334e-03	4.227260e-03	-4.788740e-03	5.019979e-03	2.242075e-03	87.5484825488	185.0
61	-4.435628e-02	-8.210552e-03	5.926626e-03	-3.144785e-03	4.861078e-03	-4.021804e-03	3.410186e-04	1.075054e-04	80.4924807467	144
62	-1.437669e-02	-3.568139e-02	1.097513e-02	-1.538967e-02	4.629529e-03	-5.068536e-03	-2.131667e-03	2.930266e-03	75.7869282722	131.1
63	4.116344e-03	-2.696379e-02	-1.407441e-02	-9.866827e-03	6.047238e-03	-5.682960e-03	2.440460e-03	2.288406e-04	75.7311508665	127.6
64	-1.962520e-02	-1.903147e-02	-4.728003e-03	2.195154e-03	5.378334e-04	6.210899e-03	-7.882955e-03	6.758693e-04	79.1161643793	149.9
65	1.120501e-02	-1.334891e-02	1.447444e-02	-1.517217e-02	1.437030e-02	5.799777e-03	-1.778650e-03	-3.820927e-03	69.2609718053	154.1
66	-2.066026e-02	-2.620089e-02	-1.863783e-02	6.131348e-04	-2.940670e-03	4.034321e-03	-1.211412e-02	-4.795636e-04	82.695555882	159.3
67	-1.372352e-02	6.808294e-03	1.239399e-02	-9.423683e-04	2.362810e-04	1.839970e-03	-4.269109e-03	4.339630e-03	73.849090959	130.3
68	1.704325e-02	-1.978016e-02	8.180116e-04	-3.896556e-03	1.471591e-02	1.252584e-03	-8.575195e-03	4.630038e-03	66.0411055305	103.0
69	-3.033382e-02	1.551297e-02	-1.931068e-04	-2.333148e-02	4.995890e-03	3.879784e-03	-2.659944e-03	-2.441357e-03	80.0497278585	135.2
70	-3.140154e-02	-1.419843e-02	-7.668531e-03	1.672284e-02	2.219549e-02	7.445380e-03	1.546893e-03	7.781153e-05	79.3659465675	135.7
71	-8.888262e-03	-3.566072e-03	-9.811093e-03	1.835982e-03	-6.341914e-03	-4.133001e-03	6.179767e-03	-2.145033e-03	72.2680759248	130.9
72	-1.626316e-02	1.395522e-02	-1.069882e-02	1.042316e-02	2.678553e-03	-4.141360e-03	4.187193e-03	-1.767992e-03	67.9153860189	114.8
73	1.310037e-02	2.264686e-02	-2.674075e-02	-2.106356e-02	7.224187e-03	-1.107352e-02	9.289854e-03	1.145630e-02	77.7855551667	144.2
74	5.397731e-04	-3.869514e-03	-2.445841e-02	2.172992e-03	-2.507276e-03	-3.049804e-03	-3.901505e-03	-3.688666e-03	69.5691738048	129.4
75	-2.996101e-02	-9.774065e-03	-6.494157e-03	-5.832311e-03	2.599946e-03	-2.961542e-03	-1.514774e-03	-2.306072e-03	83.3513305518	158.9
76	-5.294263e-02	-3.615443e-02	-3.189508e-02	-1.614206e-02	-3.017922e-02	-1.686627e-03	9.777763e-03	1.030036e-03	70.701653568	154.7
77	-8.602985e-03	-1.822928e-02	-8.990440e-03	-3.010641e-03	6.242251e-03	-7.296254e-03	-3.963286e-03	-1.168646e-03	91.725499428	243.7
78	-6.456203e-03	1.495286e-02	1.825681e-02	3.492389e-04	4.815615e-03	-7.533934e-03	-8.486122e-03	1.250264e-03	70.44928944	126.8
79	-6.395730e-02	2.202986e-02	3.002119e-04	-2.361302e-03	1.169358e-03	1.444945e-02	5.493257e-03	-5.199327e-03	76.447899696	163.8
