ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B4_178_D15_R1	16/06/17	14	2	8	15	M	M	no	0	7200	0	12.6	9.5	6.1
B4_179_D15_R1	16/06/17	14	2	8	15	M	M	no	0	316	1	12.5	9.6	5.8
B4_180_D15_R1	16/06/17	14	2	8	15	M	M	yes	3	234	1	11.8	8.8	5.7
B4_181_D15_R1	16/06/17	14	2	8	15	F	F	yes	3	340	1	13.6	10.6	6.4
B4_182_D15_R1	16/06/17	14	2	8	15	M	F	yes	3	7200	0	13.3	10.3	6.1
B4_183_D15_R1	16/06/17	14	2	8	15	F	F	yes	3	308	1	14.4	11.3	6.8
B4_184_D15_R1	16/06/17	14	2	8	15	F	F	yes	3	234	1	14.1	10.7	6.4
B4_185_D15_R1	16/06/17	14	2	8	15	M	F	yes	3	7200	0	13.7	10.5	6.4
B6_285_D15_R2	22/06/17	20	3	11	15	F	F	no	1	7200	0	14.1	10.7	6.3
B6_286_D15_R2	22/06/17	20	3	11	15	F	M	yes	3	460	1	13.1	10.1	6.1
B6_287_D15_R2	22/06/17	20	3	11	15	M	M	yes	3	330	1	12.1	9.4	5.9
B6_288_D15_R2	22/06/17	20	3	11	15	F	M	yes	3	613	1	13.2	9.7	6.1
B6_289_D15_R2	22/06/17	20	3	11	15	F	F	yes	3	333	1	14.1	11.1	6.5
B6_290_D15_R2	22/06/17	20	3	11	15	M	M	no	0	7200	0	12.9	10.2	6.2
B6_291_D15_R2	22/06/17	20	3	11	15	M	M	no	0	390	1	13.1	10.1	6.1
B6_292_D15_R2	22/06/17	20	3	11	15	F	F	no	0	324	1	13.5	10.2	6.6
B6_293_D15_R2	22/06/17	20	3	11	15	M	M	no	0	7200	0	11.6	9	5.7
B6_294_D15_R2	22/06/17	20	3	11	15	F	M	no	0	525	1	13.1	9.6	6.1
B6_295_D15_R2	22/06/17	20	3	11	15	F	F	no	0	365	1	14.1	10.8	6.5
B6_296_D15_R2	22/06/17	20	3	11	15	M	F	no	0	7200	0	14.1	11.1	6.4
B6_297_D15_R2	22/06/17	20	3	11	15	F	F	no	0	7200	0	13.3	10.1	5.9
B6_298_D15_R2	22/06/17	20	3	11	15	M	F	no	0	364	1	13.4	10.3	6.3
B6_299_D15_R2	22/06/17	20	3	11	15	M	F	no	0	380	1	13.7	10.3	6.4
B6_300_D15_R3	22/06/17	20	3	12	15	M	M	no	0	7200	0	12.3	9.3	5.9
B7_301_D15_R3	22/06/17	20	3	12	15	F	F	no	0	7200	0	13.9	10.6	6.2
B7_302_D15_R3	22/06/17	20	3	12	15	F	F	no	0	7200	0	13.8	10.5	6.3
B7_303_D15_R3	22/06/17	20	3	12	15	F	M	no	0	305	1	13.4	10.3	6.2
B7_304_D15_R3	22/06/17	20	3	12	15	F	F	no	0	226	1	13.8	10.4	6.1
