ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B1_50_D2_R10	12/06/17	10	1	18	2	F	M	yes	3	488	1	13.1	9.6	5.9
B1_49_D2_R10	12/06/17	10	1	18	2	F	F	no	0	7200	0	14.1	11.4	6.6
B2_52_D2_R11	12/06/17	10	1	17	2	M	M	yes	3	490	1	12.4	9.1	5.8
B2_51_D2_R11	12/06/17	10	1	17	2	M	F	no	0	250	1	13.1	10.1	5.9
B2_53_D2_R12	12/06/17	10	1	16	2	F	F	no	0	272	1	13.1	10.1	6.4
B2_54_D2_R12	12/06/17	10	1	16	2	M	M	no	0	7200	0	12.8	9.8	6.2
B2_55_D2_R13	12/06/17	10	1	15	2	F	M	yes	3	453	1	12.9	9.9	6.1
B2_56_D2_R13	12/06/17	10	1	15	2	F	F	no	0	330	1	13.8	11.4	6.6
B3_127_D2_R14	16/06/17	14	2	23	2	F	F	yes	3	308	1	13.7	10.5	6.5
B3_128_D2_R14	16/06/17	14	2	23	2	M	M	yes	3	128	1	12.6	9.6	6.1
B3_129_D2_R15	16/06/17	14	2	22	2	F	M	no	0	473	1	12.5	9.7	6.1
B3_130_D2_R15	16/06/17	14	2	22	2	F	F	no	0	611	1	13.4	10.2	6.1
B3_131_D2_R16	16/06/17	14	2	21	2	M	M	no	0	7200	0	12.6	9.6	5.8
B3_132_D2_R16	16/06/17	14	2	21	2	F	F	no	0	324	1	13.9	11.1	6.5
B3_133_D2_R17	16/06/17	14	2	20	2	M	M	no	0	7200	0	12.2	9.5	5.8
B3_134_D2_R17	16/06/17	14	2	20	2	F	F	no	0	7200	0	14.1	10.9	6.5
B3_135_D2_R19	16/06/17	14	2	18	2	M	M	no	0	495	1	12.3	9.6	5.8
B3_136_D2_R19	16/06/17	14	2	18	2	F	F	yes	3	446	1	15.2	11.5	6.9
B3_137_D2_R20	16/06/17	14	2	17	2	F	M	no	0	760	1	12.7	9.7	5.7
B1_138_D2_R20	16/06/17	14	2	17	2	M	F	no	0	307	1	13.7	10.5	6.3
B6_256_D2_R18	22/06/17	20	3	7	2	M	M	yes	3	188	1	12.6	9.7	5.9
B6_257_D2_R18	22/06/17	20	3	7	2	F	F	no	0	7200	0	14.6	11.1	6.6
B2_57_D3_R1	12/06/17	10	1	14	3	F	F	no	0	662	1	13.5	10.1	6.3
B2_58_D3_R1	12/06/17	10	1	14	3	M	M	no	0	7200	0	13.1	9.8	6.1
B2_59_D3_R1	12/06/17	10	1	14	3	M	M	no	0	7200	0	13.1	9.8	6.1
B2_60_D3_R2	12/06/17	10	1	13	3	F	F	no	0	334	1	13.8	11.1	6.7
B2_61_D3_R2	12/06/17	10	1	13	3	F	F	no	0	7200	0	13.1	10.2	6.1
B2_62_D3_R2	12/06/17	10	1	13	3	M	M	no	0	7200	0	12.9	9.7	6.1
B2_63_D3_R3	12/06/17	10	1	12	3	M	M	yes	3	220	1	12.8	9.9	6.1
B2_64_D3_R3	12/06/17	10	1	12	3	F	F	no	0	7200	0	13.7	10.6	6.1
B2_65_D3_R3	12/06/17	10	1	12	3	M	M	no	0	310	1	12.9	10.1	6.2
B3_139_D3_R4	16/06/17	14	2	16	3	M	M	yes	3	526	1	11.5	9.3	5.5
B3_140_D3_R4	16/06/17	14	2	16	3	F	F	yes	3	180	1	14.2	10.6	6.5
B3_141_D3_R4	16/06/17	14	2	16	3	F	F	yes	3	455	1	14.1	10.6	6.3
B3_142_D3_R5	16/06/17	14	2	15	3	M	M	no	0	7200	0	12.4	9.5	6.1
B3_143_D3_R5	16/06/17	14	2	15	3	M	M	no	0	7200	0	11.7	9.4	5.7
B3_144_D3_R5	16/06/17	14	2	15	3	F	F	no	0	193	1	12.6	9.5	6.1
B3_147_D3_R6	16/06/17	14	2	14	3	F	F	no	0	292	1	14.3	11.1	6.6
B3_146_D3_R6	16/06/17	14	2	14	3	M	M	no	0	209	1	12.4	9.4	5.7
B3_145_D3_R6	16/06/17	14	2	14	3	F	F	yes	3	330	1	14.8	11.7	6.8
B5_236_D3_R7	22/06/17	20	3	23	3	F	F	yes	3	560	1	13.5	10.2	6.2
B5_237_D3_R7	22/06/17	20	3	23	3	M	M	no	0	455	1	13.1	9.8	5.9
B5_238_D3_R7	22/06/17	20	3	23	3	M	M	no	0	460	1	12.3	9.6	5.8
B5_239_D3_R8	22/06/17	20	3	22	3	F	F	no	1	320	1	13.7	10.3	6.4
B5_240_D3_R8	22/06/17	20	3	22	3	M	M	no	0	7200	0	12.6	9.5	6.1
B5_241_D3_R8	22/06/17	20	3	22	3	M	M	yes	3	700	1	12.7	9.4	6.1
B5_242_D3_R9	22/06/17	20	3	21	3	F	F	no	0	7200	0	14.1	11.1	6.6
B5_243_D3_R9	22/06/17	20	3	21	3	F	F	yes	3	7200	0	13.7	10.3	6.1
B5_2445_D3_R9	22/06/17	20	3	21	3	F	M	yes	3	270	1	12.8	9.9	6.1
B5_245_D3_R10	22/06/17	20	3	20	3	F	F	no	0	300	1	13.9	10.8	6.5
B5_246_D3_R10	22/06/17	20	3	20	3	F	F	yes	3	415	1	14.4	11.1	6.7
B5_247_D3_R10	22/06/17	20	3	20	3	M	M	yes	3	624	1	12.5	9.5	6.1
B2_66_D4_R1	12/06/17	10	1	11	4	F	F	no	1	7200	0	13.6	10.4	6.1
B2_67_D4_R1	12/06/17	10	1	11	4	M	M	yes	2	305	1	12.8	10.2	6.2
B2_68_D4_R1	12/06/17	10	1	11	4	M	M	no	0	7200	0	12.1	9.6	5.4
B2_69_D4_R1	12/06/17	10	1	11	4	M	F	yes	3	720	1	13.5	10.5	6.3
B2_70_D4_R2	12/06/17	10	1	10	4	M	F	yes	3	7200	0	13.1	10.4	6.4
B2_71_D4_R2	12/06/17	10	1	10	4	M	M	yes	3	7200	0	12.6	9.7	6.1
B2_72_D4_R2	12/06/17	10	1	10	4	M	M	yes	3	430	1	12.8	10.1	6.1
B2_73_D4_R2	12/06/17	10	1	10	4	M	F	no	0	243	1	13.5	10.6	6.3
B3_148_D4_R3	16/06/17	14	2	13	4	M	M	yes	3	7200	0	12.4	9.7	6.1
B3_149_D4_R3	16/06/17	14	2	13	4	F	F	no	0	7200	0	14.3	11.1	6.6
B3_150_D4_R3	16/06/17	14	2	13	4	F	M	no	0	334	1	13.4	10.4	6.3
B4_151_D4_R3	16/06/17	14	2	13	4	F	F	no	0	325	1	14.4	10.7	6.4
B4_152_D4_R4	16/06/17	14	2	12	4	M	F	no	0	346	1	12.5	9.6	6.1
B4_153_D4_R4	16/06/17	14	2	12	4	F	F	no	0	7200	0	13.5	10.5	6.1
B4_154_D4_R4	16/06/17	14	2	12	4	F	M	no	0	198	1	15.2	11.6	6.8
B4_155_D4_R4	16/06/17	14	2	12	4	F	M	no	0	7200	0	14.1	11.3	6.1
B5_248_D4_R9	22/06/17	20	3	19	4	F	F	no	0	450	1	14.1	10.5	6.6
B5_249_D4_R9	22/06/17	20	3	19	4	M	M	no	0	480	1	11.9	9.1	5.6
B5_250_D4_R9	22/06/17	20	3	19	4	F	F	yes	3	240	1	14.1	10.8	6.5
B6_251_D4_R9	22/06/17	20	3	19	4	M	M	yes	3	7200	0	12.8	9.8	6.1
B6_252_D4_R5	22/06/17	20	3	18	4	M	F	yes	3	545	1	12.7	9.4	5.7
B6_253_D4_R5	22/06/17	20	3	18	4	M	F	yes	3	180	1	12.8	9.9	6.2
B6_254_D4_R5	22/06/17	20	3	18	4	F	M	no	0	275	1	13.8	10.7	6.6
B6_255_D4_R5	22/06/17	20	3	18	4	M	M	no	0	7200	0	13.5	10.7	6.4
B6_258_D4_R6	22/06/17	20	3	17	4	F	F	no	0	430	1	14.1	11.1	6.5
B6_259_D4_R6	22/06/17	20	3	17	4	M	F	no	0	575	1	13.1	10.1	6.2
B6_260_D4_R6	22/06/17	20	3	17	4	F	M	yes	2	7200	0	14.2	11.1	6.5
B6_261_D4_R6	22/06/17	20	3	17	4	M	M	no	1	7200	0	12.9	9.5	6.1
B6_262_D4_R7	22/06/17	20	3	16	4	F	F	no	0	7200	0	13.1	10.2	6.1
B6_263_D4_R7	22/06/17	20	3	16	4	M	F	no	0	210	1	12.3	9.6	6.1
B6_264_D4_R7	22/06/17	20	3	16	4	F	M	no	0	250	1	14.1	11.1	6.4
B6_265_D4_R7	22/06/17	20	3	16	4	M	M	no	0	773	1	12.7	9.7	6.1
B6_266_D4_R8	22/06/17	20	3	15	4	F	F	yes	3	255	1	13.7	10.4	6.6
B6_267_D4_R8	22/06/17	20	3	15	4	M	F	yes	3	430	1	12.3	9.4	6.1
B6_268_D4_R8	22/06/17	20	3	15	4	M	M	no	0	493	1	13.6	10.7	6.5
B6_269_D4_R8	22/06/17	20	3	15	4	M	M	no	0	465	1	12.1	9.5	6.1
B2_74_D5_R1	12/06/17	10	1	9	5	M	M	no	0	7200	0	12.8	9.5	5.8
B2_75_D5_R1	12/06/17	10	1	9	5	M	F	no	0	7200	0	13.1	10.1	6.4
B2_76_D5_R1	12/06/17	10	1	9	5	F	F	no	0	7200	0	14.2	10.8	6.4
B2_77_D5_R1	12/06/17	10	1	9	5	F	F	no	0	7200	0	14.8	11.5	6.9
B2_78_D5_R1	12/06/17	10	1	9	5	F	M	no	0	337	1	12.5	9.6	6.1
B2_79_D5_R2	12/06/17	10	1	8	5	F	F	no	1	7200	0	13.8	10.4	6.1
B2_80_D5_R2	12/06/17	10	1	8	5	M	M	no	0	300	1	12.8	9.3	5.8
B2_81_D5_R2	12/06/17	10	1	8	5	M	M	no	0	277	1	13.1	10.1	6.1
B2_82_D5_R2	12/06/17	10	1	8	5	F	F	no	0	7200	0	13.5	10.6	6.3
B2_83_D5_R2	12/06/17	10	1	8	5	M	M	no	0	391	1	12.8	9.8	5.8
B4_161_D5_R3	16/06/17	14	2	10	5	F	M	yes	3	542	1	12.6	9.6	6.1
B4_162_D5_R3	16/06/17	14	2	10	5	M	F	yes	3	483	1	13.2	10.2	6.3
B4_163_D5_R3	16/06/17	14	2	10	5	F	F	yes	3	541	1	13.4	10.7	6.5
B4_164_D5_R3	16/06/17	14	2	10	5	F	F	yes	3	7200	0	13.1	10.3	6.4
